UTC_Datetime,UTC_Date,UTC_Time,Time_ms,Epoch_Time,ui1KlrFineTuneAct,Countershaft_Speed,Countershaft_Speed_Valid,Output_Speed,Output_Speed_Valid,Main_Shaft_Speed,Main_Shaft_Speed_Valid,Road_Inclination_Sensor,Road_Inclination_Sensor_Valid,Clutch_Actual_Position_ASW,Clutch_Actual_Position_Filtered_ASW,Clutch_Intended_Position_ASW,KlrActionState,Control_Deviation,Supply_Pressure,Supply_Pressure_Valid,Clutch_Position_Raw,Clutch_Position_Raw_Valid,Clutch_Position_Raw_Invers,Clutch_Position_Raw_Invers_Valid,Filtered_Actual_Clutch_Travel_percentage,Actual_Clutch_Travel_percentage,Exhaust_Valve_Fast_Off_Time,Exhaust_Valve_Slow_Off_Time,Ventilation_Valve_Fast_Off_Time,Ventilation_Valve_Slow_Off_Time,Exhaust_Valve_Fast_On_Time,Exhaust_Valve_Slow_On_Time,Ventilation_Valve_Fast_On_Time,Ventilation_Valve_Slow_On_Time,Kisspoint,ds_ccl_app_sCltActuDes,Clutch_Intended_Position_ASW_Situation_Analysis,Clutch_ClosePosition_Learned_Value,Clutch_Open_Position_Learned_Value,ErrCntrUnintdCls,Clutch_Temperature,Gear_Box_Oil_Temperature,Gear_Box_Oil_Temperature_Valid,Clutch_Current_Value,Coolant_temperature_Current_value,Ambient_temperature_Current_value,Air_Supply_Pressure_Current_value,Engine_speed_Current_value,Engine_idle_speed_Current_value,Input_Shaft_Speed_Current_Value,Output_Shaft_Speed_Current_Value,Engine_torque_Current_Value,Engine_friction_torque_Current_value,Current_Gear_Current_State_from_TCM,Feedback_about_requested_Gear,High_Resolution_Accelerator_Pedal_Position_Current_value,Brake_Pedal_Position3_Current_value,Service_brake_Switch_Current_state,Vehicle_Speed_Current_value_CPC,Road_Gradient_Current_Value,Vehicle_Weight_Current_Value,Vehicle_Number
2023-05-30T07:55:52.600Z,5/30/2023,55:52.6,600,1.68543E+12,0,978,1,592,1,590,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,1,51,18,752,1082,496,1,10,-4987,-232,8,8,64,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.610Z,5/30/2023,55:52.6,610,1.68543E+12,0,980,1,590,1,589,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,1,51,18,752,1082,496,1,10,-4987,-232,8,8,64,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.620Z,5/30/2023,55:52.6,620,1.68543E+12,0,977,1,589,1,589,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,1,51,18,752,1091,496,1,10,-4987,-235,8,8,64,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.630Z,5/30/2023,55:52.6,630,1.68543E+12,0,968,1,593,1,589,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,1,51,18,752,1091,496,1,0,-4998,-235,8,8,64,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.640Z,5/30/2023,55:52.6,640,1.68543E+12,0,968,1,590,1,590,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,0,51,18,752,1091,496,1,0,-5000,-235,8,8,64,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.650Z,5/30/2023,55:52.6,650,1.68543E+12,0,977,1,588,1,587,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,1,51,18,752,1092,496,1,0,-5000,-236,8,8,64,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.670Z,5/30/2023,55:52.7,670,1.68543E+12,0,969,1,595,1,587,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,1,51,18,752,1094,496,1,0,-4999,-238,8,8,64,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.675Z,5/30/2023,55:52.7,675,1.68543E+12,0,974,1,588,1,592,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,0,51,18,752,1094,496,1,1,-4998,-238,8,8,64,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.680Z,5/30/2023,55:52.7,680,1.68543E+12,0,974,1,588,1,593,1,65,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,0,51,18,752,1095,496,1,1,-4998,-238,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.690Z,5/30/2023,55:52.7,690,1.68543E+12,0,974,1,588,1,589,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,1,51,18,752,1113,496,1,1,-4998,-242,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.695Z,5/30/2023,55:52.7,695,1.68543E+12,0,971,1,590,1,589,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,0,51,18,752,1113,496,1,1,-4997,-242,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.745Z,5/30/2023,55:52.7,745,1.68543E+12,0,971,1,590,1,592,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,0,51,18,752,1113,496,1,1,-4997,-242,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.750Z,5/30/2023,55:52.7,750,1.68543E+12,0,974,1,591,1,592,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3480,23,1,0,51,18,752,1113,496,1,2,-4996,-242,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.755Z,5/30/2023,55:52.8,755,1.68543E+12,0,974,1,591,1,593,1,65,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1113,496,1,2,-4996,-242,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.760Z,5/30/2023,55:52.8,760,1.68543E+12,0,968,1,585,1,593,1,65,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1118,496,1,2,-4996,-242,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.800Z,5/30/2023,55:52.8,800,1.68543E+12,0,968,1,585,1,586,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1118,496,1,3,-4995,-243,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.820Z,5/30/2023,55:52.8,820,1.68543E+12,0,968,1,585,1,585,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1118,496,1,3,-4995,-243,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.825Z,5/30/2023,55:52.8,825,1.68543E+12,0,968,1,585,1,587,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1118,496,1,3,-4996,-243,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.840Z,5/30/2023,55:52.8,840,1.68543E+12,0,975,1,587,1,588,1,65,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1125,496,1,3,-4996,-245,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.845Z,5/30/2023,55:52.8,845,1.68543E+12,0,974,1,587,1,588,1,65,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1164,496,1,5,-4993,-253,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.875Z,5/30/2023,55:52.9,875,1.68543E+12,0,981,1,595,1,589,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1164,496,1,5,-4993,-253,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.880Z,5/30/2023,55:52.9,880,1.68543E+12,0,981,1,595,1,589,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1164,496,1,5,-4993,-253,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.895Z,5/30/2023,55:52.9,895,1.68543E+12,0,978,1,595,1,589,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1164,496,1,6,-4992,-253,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.900Z,5/30/2023,55:52.9,900,1.68543E+12,0,982,1,589,1,586,1,0,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1164,496,1,6,-4992,-253,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:52.985Z,5/30/2023,55:53.0,985,1.68543E+12,0,982,1,589,1,589,1,65,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3481,23,1,0,51,18,752,1164,496,1,6,-4991,-253,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.000Z,5/30/2023,7:55:53,0,1.68543E+12,0,982,1,589,1,589,1,65,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1164,496,1,6,-4992,-253,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.005Z,5/30/2023,55:53.0,5,1.68543E+12,0,983,1,589,1,591,1,65,1,0,0,0,3,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1167,496,1,8,-4988,-253,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.010Z,5/30/2023,55:53.0,10,1.68543E+12,0,983,1,589,1,581,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1167,496,1,8,-4990,-254,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.015Z,5/30/2023,55:53.0,15,1.68543E+12,0,981,1,592,1,581,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1170,496,1,8,-4990,-254,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.020Z,5/30/2023,55:53.0,20,1.68543E+12,0,980,1,592,1,581,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1170,496,1,8,-4988,-255,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.035Z,5/30/2023,55:53.0,35,1.68543E+12,0,980,1,592,1,581,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1212,496,1,8,-4988,-260,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.040Z,5/30/2023,55:53.0,40,1.68543E+12,0,980,1,592,1,581,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1212,496,1,8,-4989,-260,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.060Z,5/30/2023,55:53.1,60,1.68543E+12,0,959,1,582,1,581,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1212,496,1,10,-4987,-260,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
2023-05-30T07:55:53.070Z,5/30/2023,55:53.1,70,1.68543E+12,0,956,1,582,1,587,1,0,1,0,0,0,3,0,0,0,24,1,25,1,0,0,0,0,0,0,0,0,0,0,49,327,0,25,41,0,3482,23,1,0,51,18,752,1212,496,1,10,-4987,-260,8,8,44,0,2,34,0,null,574442393633343033314C393037383032
